epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.135,1.67682,1.24323,1.36332,0.67739,0.57108,0.61431,0.28164,1.66569,1.39781,1.37503,0.00333148,0.00333148,0.0700167
2,745.39,1.49667,0.92856,1.26986,0.7221,0.70779,0.74965,0.3958,1.42081,1.02383,1.23592,0.00633491,0.00633491,0.0396868
3,1085.94,1.37693,0.80241,1.20814,0.83617,0.77693,0.84011,0.467,1.33356,0.76147,1.19157,0.00900833,0.00900833,0.00902685
4,1421.34,1.28791,0.71704,1.16303,0.84195,0.80265,0.85092,0.49219,1.27232,0.69001,1.16306,0.008515,0.008515,0.008515
5,1769.89,1.21361,0.65773,1.12602,0.86526,0.82443,0.87216,0.51552,1.21224,0.63466,1.13263,0.00802,0.00802,0.00802
6,2121.55,1.15911,0.61768,1.10036,0.88587,0.83891,0.88603,0.52957,1.19435,0.61496,1.13141,0.007525,0.007525,0.007525
7,2483.59,1.11161,0.58676,1.07809,0.87878,0.85338,0.89258,0.53513,1.17174,0.59071,1.12175,0.00703,0.00703,0.00703
8,2936.68,1.06952,0.5598,1.05763,0.89343,0.85387,0.89688,0.54808,1.15336,0.57031,1.10962,0.006535,0.006535,0.006535
9,3368.29,1.02564,0.53675,1.037,0.89812,0.86075,0.90566,0.55975,1.12407,0.55343,1.09842,0.00604,0.00604,0.00604
10,3748.65,0.98879,0.51567,1.01949,0.90694,0.86618,0.91035,0.56648,1.11723,0.54203,1.09729,0.005545,0.005545,0.005545
11,4240.81,0.95263,0.49625,1.00307,0.91134,0.85771,0.90769,0.57062,1.10872,0.53231,1.09406,0.00505,0.00505,0.00505
12,4647.24,0.91792,0.47927,0.98714,0.90913,0.87076,0.91406,0.57655,1.09728,0.52011,1.09007,0.004555,0.004555,0.004555
13,5095.77,0.88059,0.46173,0.97081,0.90513,0.87166,0.91304,0.57205,1.10779,0.51846,1.10263,0.00406,0.00406,0.00406
14,5576.81,0.8461,0.44608,0.9561,0.90464,0.87442,0.91304,0.57701,1.09367,0.51282,1.09704,0.003565,0.003565,0.003565
15,6046.21,0.81374,0.4316,0.94277,0.90434,0.88132,0.91512,0.5752,1.09754,0.51167,1.10495,0.00307,0.00307,0.00307
16,6529.66,0.7799,0.41713,0.92889,0.90734,0.87415,0.91429,0.57429,1.10528,0.51203,1.11677,0.002575,0.002575,0.002575
17,7012.99,0.74682,0.40274,0.91617,0.90492,0.87402,0.91269,0.57464,1.09961,0.50968,1.11818,0.00208,0.00208,0.00208
